COUNTY,POP1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990
Atkinson ,3679,1786,1893,651,234,106,0.485458005,0.514541995,0.176950258,0.06360424,0.028812177
Bacon ,5730,2403,3327,1041,376,166,0.419371728,0.580628272,0.181675393,0.065619546,0.028970332
Baker ,2166,1006,1160,451,204,72,0.4644506,0.5355494,0.208217913,0.094182825,0.033240997
Baldwin ,25193,8896,16297,7745,3361,1377,0.35311396,0.64688604,0.307426666,0.133410074,0.05465804
Banks ,6474,2810,3664,1317,413,138,0.434043868,0.565956132,0.203429101,0.063793636,0.021316033
Barrow ,18280,7524,10756,4901,1687,575,0.411597374,0.588402626,0.268107221,0.092286652,0.031455142
Bartow ,34522,14274,20248,8356,3113,950,0.413475465,0.586524535,0.242048549,0.090174382,0.027518684
Ben Hill ,9810,4242,5568,2074,742,298,0.432415902,0.567584098,0.211416922,0.075637105,0.030377166
Berrien ,8782,3736,5046,1999,662,213,0.425415623,0.574584377,0.227624687,0.075381462,0.024254156
Bibb ,94391,29978,64413,34768,16069,5894,0.317593838,0.682406162,0.368340202,0.170238688,0.062442394
Bleckley ,6390,2540,3850,1827,658,263,0.397496088,0.602503912,0.285915493,0.102973396,0.041158059
Brantley ,6609,2373,4236,1273,384,117,0.359055833,0.640944167,0.19261613,0.058102587,0.017703132
Brooks ,9363,3864,5499,2127,853,376,0.412688241,0.587311759,0.227170779,0.091103279,0.040158069
Bryan ,9048,2852,6196,2821,1066,358,0.315207781,0.684792219,0.311781609,0.117816092,0.039566755
Bulloch ,22331,7246,15085,8252,4444,2022,0.324481662,0.675518338,0.369531145,0.199005866,0.090546774
Burke ,11834,5285,6549,2634,1134,333,0.446594558,0.553405442,0.22257901,0.095825587,0.02813926
Butts ,9748,4057,5691,2101,703,282,0.416187936,0.583812064,0.215531391,0.072117357,0.028929011
Calhoun ,3137,1499,1638,693,317,117,0.477845075,0.522154925,0.220911699,0.10105196,0.03729678
Camden ,16900,3463,13437,7362,2275,540,0.204911243,0.795088757,0.435621302,0.134615385,0.031952663
Candler ,4881,2282,2599,1156,483,197,0.467527146,0.532472854,0.236836714,0.098955132,0.040360582
Carroll ,42311,16697,25614,12111,5096,2334,0.394625511,0.605374489,0.286237621,0.120441493,0.05516296
Catoosa ,27287,9870,17417,8111,2209,606,0.361710705,0.638289295,0.297247774,0.080954301,0.022208378
Charlton ,5002,2192,2810,1008,320,86,0.43822471,0.56177529,0.201519392,0.06397441,0.017193123
Chatham ,135851,35762,100089,59306,25324,8507,0.26324429,0.73675571,0.43655181,0.186410111,0.062620076
Chattahoochee ,6873,793,6080,3866,1389,398,0.115379019,0.884620981,0.562490906,0.202095155,0.057907755
Chattooga ,14281,7128,7153,2614,842,328,0.499124711,0.500875289,0.183040403,0.058959457,0.022967579
Cherokee ,56489,14016,42473,25165,10390,2643,0.248119103,0.751880897,0.445484962,0.183929615,0.04678787
Clarke ,44819,10280,34539,24388,16803,8258,0.22936701,0.77063299,0.544144225,0.374907963,0.184252214
Clay ,2079,1010,1069,577,233,94,0.485810486,0.514189514,0.277537278,0.112073112,0.045214045
Clayton ,110326,25151,85175,45695,16234,4919,0.227969835,0.772030165,0.414181607,0.147145732,0.044586045
Clinch ,3652,1966,1686,561,244,151,0.538335159,0.461664841,0.153614458,0.066812705,0.041347207
Cobb ,288528,40838,247690,177507,95170,26355,0.141539123,0.858460877,0.615215854,0.32984667,0.091342955
Coffee ,17427,7314,10113,4951,1939,788,0.419693579,0.580306421,0.284099386,0.11126413,0.045217192
Colquitt ,22546,9705,12841,5512,2250,863,0.430453295,0.569546705,0.244477956,0.099795973,0.0382773
Columbia ,40113,7571,32542,20304,9577,3391,0.188741804,0.811258196,0.50617007,0.23875053,0.084536185
Cook ,8231,3686,4545,1693,535,220,0.44781922,0.55218078,0.205685822,0.064998178,0.026728223
Coweta ,33373,10874,22499,10684,4426,1559,0.32583226,0.67416774,0.320139035,0.13262218,0.04671441
Crawford ,5583,2220,3363,1167,317,118,0.39763568,0.60236432,0.209027405,0.056779509,0.02113559
Crisp ,12169,5333,6836,2940,1215,506,0.43824472,0.56175528,0.241597502,0.099843866,0.041581067
Dade ,8139,3638,4501,2067,652,204,0.446983659,0.553016341,0.253962403,0.080108121,0.025064504
Dawson ,5938,2367,3571,1570,513,126,0.398619064,0.601380936,0.264398787,0.086392725,0.021219266
Decatur ,15358,6168,9190,4656,1795,622,0.401614794,0.598385206,0.303164475,0.116877198,0.040500065
DeKalb ,353321,56953,296368,214108,115667,40319,0.161193362,0.838806638,0.60598719,0.327370861,0.114114361
Dodge ,11160,4816,6344,2521,894,310,0.431541219,0.568458781,0.225896057,0.080107527,0.027777778
Dooly ,5973,2706,3267,1366,567,192,0.453038674,0.546961326,0.228695798,0.094927172,0.032144651
Dougherty ,55627,18055,37572,21524,9454,3392,0.3245726,0.6754274,0.386934402,0.16995344,0.060977583
Douglas ,43407,12007,31400,14917,5224,1638,0.276614371,0.723385629,0.343654249,0.120349252,0.037735849
Early ,7202,3304,3898,1793,674,227,0.458761455,0.541238545,0.248958623,0.093585115,0.031519022
Echols ,1396,545,851,218,66,16,0.390401146,0.609598854,0.156160458,0.047277937,0.011461318
Effingham ,15161,5159,10002,3473,1159,406,0.340280984,0.659719016,0.229074599,0.076446145,0.026779236
Elbert ,12311,5631,6680,2511,983,346,0.457395825,0.542604175,0.203963935,0.079847291,0.028104947
Emanuel ,12419,5888,6531,2807,1126,450,0.474112247,0.525887753,0.22602464,0.090667526,0.036234802
Evans ,5376,2231,3145,1208,465,192,0.41499256,0.58500744,0.224702381,0.086495536,0.035714286
Fannin ,11013,4869,6144,2520,857,396,0.442113865,0.557886135,0.228820485,0.077817125,0.035957505
Fayette ,39171,5274,33897,22097,10098,2778,0.134640423,0.865359577,0.564116311,0.257792755,0.070919813
Floyd ,52583,18996,33587,16767,7210,2799,0.361257441,0.638742559,0.318867315,0.137116559,0.053230131
Forsyth ,28366,9191,19175,10477,4417,1256,0.324014665,0.675985335,0.369350631,0.155714588,0.044278361
Franklin ,10891,5000,5891,2784,1030,344,0.459094665,0.540905335,0.25562391,0.094573501,0.031585713
